RK,TIERS,PLAYER NAME,TEAM,POS,player_id
1,1,Breece Hall,NYJ,RB,8155
2,1,Drake London,ATL,WR,8112
3,2,Kenneth Walker III,SEA,RB,8151
4,1,Treylon Burks,TEN,WR,8135
5,2,Jameson Williams,DET,WR,8148
6,1,Garrett Wilson,NYJ,WR,8146
7,4,Kenny Pickett,PIT,QB,8160
8,2,Chris Olave,NO,WR,8144
9,2,Skyy Moore,KC,WR,8168
10,3,Christian Watson,GB,WR,8167
11,3,George Pickens,PIT,WR,8137
12,3,Jahan Dotson,WAS,WR,8119
13,3,James Cook,BUF,RB,8138
14,4,Dameon Pierce,HOU,RB,8129
15,3,Rachaad White,TB,RB,8136
16,3,David Bell,CLE,WR,8118
17,4,Desmond Ridder,ATL,QB,8159
18,4,Malik Willis,TEN,QB,8161
19,4,John Metchie III,HOU,WR,8147
20,4,Isaiah Spiller,LAC,RB,8153
21,4,Trey McBride,ARI,TE,8130
22,4,Zamir White,LV,RB,8139
23,4,Brian Robinson Jr.,WAS,RB,8154
24,4,Jalen Tolbert,DAL,WR,8117
25,4,Wan'Dale Robinson,NYG,WR,8126
26,4,Alec Pierce,IND,WR,8142
27,4,Tyler Allgeier,ATL,RB,8132
28,5,Matt Corral,CAR,QB,8164
29,5,Khalil Shakir,BUF,WR,8134
30,5,Tyquan Thornton,NE,WR,8188
31,5,Romeo Doubs,GB,WR,8121
32,5,Jelani Woods,IND,TE,8219
33,5,Calvin Austin III,PIT,WR,8125
34,5,Greg Dulcich,DEN,TE,8172
35,5,Jerome Ford,CLE,RB,8143
36,6,Sam Howell,WAS,QB,8162
37,6,Tyler Badie,BAL,RB,8162
38,6,Kyren Williams,LAR,RB,8150
39,6,Hassan Haskins,TEN,RB,8123
40,6,Tyrion Davis-Price,SF,RB,8211
41,6,Pierre Strong Jr.,NE,RB,8116
42,6,Jeremy Ruckert,NYJ,TE,8145
43,6,Justyn Ross,KC,WR,8140
44,6,Keaontay Ingram,ARI,RB,8221
45,6,Isaiah Likely,BAL,TE,8131
46,6,Velus Jones Jr.,CHI,WR,8223
47,6,Ty Chandler,MIN,RB,8230
48,6,Danny Gray,SF,WR,8176
49,7,Carson Strong,PHI,QB,8158
50,7,Snoop Conner,JAC,RB,8179
51,7,Kennedy Brooks,PHI,RB,8152
52,7,Daniel Bellinger,NYG,TE,8225
53,7,Cade Otton,TB,TE,8111
54,7,Charlie Kolar,BAL,TE,8127
55,7,Kyle Philips,TEN,WR,8171
56,7,Jerrion Ealy,KC,RB,8120
57,7,Jalen Wydermyer,BUF,TE,8115
58,7,Isaih Pacheco,KC,RB,8205
59,7,Erik Ezukanma,MIA,WR,8114
60,7,Kevin Harris,NE,RB,8174
61,7,Bo Melton,SEA,WR,8204
62,7,Jake Ferguson,DAL,TE,8110
63,7,Zonovan Knight,NYJ,RB,8122
64,7,D'Vonte Price,IND,RB,8184
65,7,Tyler Goodson,GB,RB,8207
66,7,Abram Smith,NO,RB,8190
67,7,Cole Turner,WAS,TE,8214
68,8,Sincere McCormick,LV,RB,8220
69,8,Bailey Zappe,NE,QB,8157
70,8,Chigoziem Okonkwo,TEN,TE,8210
71,8,Jalen Nailor,MIN,WR,8180
72,8,Trestan Ebner,CHI,RB,8189
73,8,Samori Toure,GB,WR,8235
74,8,Grant Calcaterra,PHI,TE,8177
75,8,Charleston Rambo,CAR,WR,8198
76,8,Max Borghi,FA,RB,8218
77,9,Kevin Austin,FA,WR,8200
78,9,Isaiah Weston,FA,WR,8229
79,9,Jaivon Heiligh,FA,WR,8234
80,9,Slade Bolden,BAL,WR,8191
81,9,Makai Polk,BAL,WR,8209
82,9,Braylon Sanders,FA,WR,8178
83,9,Skylar Thompson,MIA,QB,8206
84,9,Dontario Drummond,FA,WR,8166
85,9,Jashaun Corbin,FA,RB,8194
86,9,Master Teague,CHI,RB,8149
87,9,James Mitchell,DET,TE,8170
88,9,Reggie Roberson,FA,WR,8175
89,9,Michael Woods II,FA,WR,8202
90,9,Leddie Brown,LAC,RB,8217
91,9,Brock Purdy,SF,QB,8183
92,9,CJ Verdell,FA,RB,8187
93,9,Kaleb Eleby,FA,QB,8216
